applicant_id,group,age,income,history_years,dti,missed_24m,postcode_band,default_24m
1,A,24,35300.0,9.3,0.19,0,3,0
2,B,30,19200.0,3.1,0.445,1,2,0
3,B,54,44300.0,2.7,0.504,0,4,0
4,B,31,23000.0,1.5,0.462,0,5,0
5,A,42,24700.0,11.8,0.327,0,1,0
6,A,23,44000.0,5.9,0.277,1,1,0
7,A,31,31600.0,11.8,0.106,0,3,0
8,B,39,36100.0,9.0,0.394,2,1,0
9,A,43,38200.0,4.7,0.199,0,3,0
10,A,39,42700.0,16.5,0.33,0,2,0
11,A,29,81100.0,8.9,0.143,0,1,0
12,A,48,25600.0,12.3,0.36,0,1,0
13,B,39,32400.0,6.7,0.517,0,3,0
14,A,47,20600.0,5.5,0.33,0,4,0
15,A,45,38100.0,16.7,0.348,0,1,0
16,A,41,41000.0,8.1,0.233,1,4,0
17,A,36,31500.0,13.2,0.338,1,1,0
18,B,21,26800.0,6.9,0.197,0,4,1
19,A,45,51100.0,11.7,0.196,0,1,0
20,A,48,44700.0,11.1,0.529,1,1,0
21,B,51,67000.0,3.7,0.252,2,3,0
22,B,31,27700.0,12.2,0.219,0,5,0
23,A,48,41800.0,5.2,0.331,1,3,0
24,A,64,64000.0,4.8,0.173,0,3,0
25,B,31,34800.0,5.0,0.52,1,5,0
26,A,39,40600.0,1.8,0.364,1,1,0
27,A,54,29000.0,7.7,0.434,0,4,0
28,A,35,81500.0,5.6,0.39,1,2,1
29,A,39,48700.0,9.2,0.373,0,3,0
30,A,36,25500.0,5.9,0.446,0,1,0
31,A,27,51000.0,4.9,0.399,0,5,0
32,A,45,49000.0,1.4,0.274,0,2,0
33,B,29,51800.0,11.1,0.338,0,3,0
34,A,43,16200.0,7.9,0.21,0,2,0
35,A,33,17600.0,3.9,0.404,0,1,0
36,B,45,22500.0,3.7,0.287,0,5,0
37,A,48,35800.0,4.9,0.354,0,1,0
38,A,56,17000.0,6.5,0.488,0,5,1
39,A,28,27700.0,11.8,0.523,0,5,0
40,A,39,30300.0,13.9,0.256,0,1,0
41,A,45,64300.0,5.8,0.251,0,1,0
42,B,51,21200.0,5.7,0.359,0,3,1
43,B,45,35300.0,13.4,0.403,0,3,0
44,B,40,38100.0,4.2,0.286,0,5,0
45,B,26,33900.0,4.4,0.365,0,4,0
46,A,21,40300.0,8.2,0.151,0,1,0
47,A,35,35100.0,4.5,0.344,1,5,0
48,B,53,43800.0,22.2,0.285,0,3,0
49,A,43,29500.0,6.2,0.302,0,2,0
50,B,59,27900.0,3.4,0.501,2,5,1
51,A,47,99400.0,17.0,0.294,0,1,0
52,A,31,45500.0,3.3,0.216,0,3,0
53,B,31,42000.0,2.0,0.27,1,5,0
54,A,56,44600.0,5.5,0.372,0,3,0
55,B,55,38700.0,5.3,0.381,0,1,0
56,A,42,45300.0,14.4,0.068,1,3,0
57,A,29,72400.0,4.8,0.267,0,3,0
58,A,49,23300.0,2.8,0.584,0,3,0
59,B,41,41100.0,4.8,0.356,0,5,0
60,B,40,34400.0,5.4,0.256,0,1,0
61,A,59,29500.0,6.4,0.652,2,4,1
62,A,27,72400.0,12.5,0.159,0,5,0
63,B,23,46500.0,9.2,0.535,0,1,1
64,A,28,42300.0,12.0,0.429,0,1,0
65,A,43,49600.0,11.2,0.271,0,1,0
66,A,69,32800.0,4.3,0.486,0,1,0
67,A,44,43800.0,16.9,0.192,2,3,0
68,A,44,41500.0,10.1,0.466,1,1,0
69,A,41,18500.0,10.4,0.288,0,3,1
70,A,48,29700.0,2.6,0.158,0,3,1
71,A,36,47800.0,12.9,0.323,0,2,0
72,A,38,42500.0,11.3,0.342,0,1,0
73,A,50,41900.0,5.7,0.564,0,2,0
74,A,36,26200.0,8.0,0.44,0,1,0
75,A,29,37800.0,3.1,0.376,0,4,0
76,A,35,45300.0,14.1,0.298,0,2,0
77,A,25,19000.0,7.2,0.234,0,3,0
78,A,21,40000.0,17.9,0.492,0,2,0
79,A,55,49500.0,3.3,0.277,2,1,0
80,A,29,34600.0,19.4,0.437,3,1,1
81,A,48,62800.0,9.6,0.195,2,1,0
82,A,40,78000.0,12.8,0.339,1,3,0
83,B,49,84800.0,12.3,0.29,0,4,0
84,A,56,47100.0,11.9,0.433,0,1,0
85,A,41,27500.0,4.2,0.175,0,3,0
86,A,49,47800.0,11.4,0.285,0,2,0
87,B,50,17500.0,4.8,0.387,0,4,0
88,B,57,36500.0,8.1,0.099,1,5,0
89,A,43,72300.0,14.9,0.279,0,5,0
90,A,26,48800.0,10.6,0.164,0,3,0
91,B,36,43500.0,2.5,0.477,0,2,0
92,A,52,26800.0,17.4,0.189,1,2,0
93,A,45,37000.0,3.9,0.366,1,4,0
94,A,23,48800.0,5.9,0.274,1,3,0
95,B,68,28900.0,0.7,0.266,0,4,0
96,A,39,43000.0,2.8,0.387,1,5,0
97,B,55,10600.0,7.4,0.302,1,5,1
98,B,39,44000.0,1.9,0.309,1,5,0
99,A,25,34700.0,5.6,0.418,0,1,0
100,B,46,14800.0,4.7,0.32,0,2,0
101,A,68,24700.0,7.7,0.31,0,2,0
102,A,40,36200.0,2.8,0.616,1,4,1
103,A,49,48000.0,3.8,0.447,0,3,0
104,A,57,36400.0,10.6,0.284,1,4,0
105,B,35,24800.0,1.5,0.337,0,3,1
106,A,30,44800.0,14.6,0.457,0,1,0
107,B,40,17800.0,2.8,0.257,0,4,0
108,A,46,26700.0,7.3,0.231,0,1,0
109,A,35,16600.0,3.3,0.279,0,1,0
110,A,63,31400.0,9.4,0.354,0,2,0
111,A,29,23000.0,8.8,0.473,0,2,1
112,A,36,20300.0,13.5,0.243,0,1,0
113,B,44,32400.0,7.7,0.211,0,4,0
114,B,32,25400.0,6.9,0.166,0,5,0
115,A,29,42400.0,8.1,0.392,0,1,0
116,B,31,35200.0,7.7,0.309,0,5,0
117,B,28,36000.0,1.1,0.412,1,4,1
118,A,53,19700.0,10.5,0.236,0,1,0
119,B,21,38500.0,11.7,0.276,0,4,0
120,A,41,38400.0,15.0,0.269,0,4,0
121,A,48,64800.0,6.4,0.25,0,1,0
122,B,45,27200.0,12.1,0.308,0,3,0
123,B,41,26800.0,3.6,0.504,0,5,0
124,A,43,32400.0,2.0,0.284,0,1,0
125,B,37,16400.0,7.5,0.301,0,2,0
126,B,21,19700.0,4.8,0.586,1,1,0
127,B,54,35800.0,5.8,0.351,0,4,0
128,A,58,42300.0,5.1,0.23,1,1,0
129,A,30,65100.0,8.5,0.326,0,3,0
130,A,48,33100.0,4.4,0.24,0,3,0
131,B,36,22600.0,9.9,0.459,1,4,1
132,A,50,28200.0,8.6,0.487,1,4,0
133,A,30,47500.0,4.7,0.439,1,2,1
134,A,67,34300.0,8.7,0.434,0,1,0
135,A,49,36900.0,18.4,0.181,1,3,0
136,B,49,16100.0,6.5,0.255,0,2,0
137,B,57,54800.0,9.2,0.326,1,5,0
138,A,49,24800.0,4.1,0.058,0,5,0
139,A,42,54800.0,10.8,0.221,0,3,0
140,B,46,32900.0,9.9,0.457,0,4,0
141,A,64,48800.0,8.2,0.29,0,4,1
142,A,41,41500.0,24.9,0.404,0,3,0
143,A,40,44900.0,6.0,0.42,0,2,0
144,A,40,22600.0,12.3,0.217,0,3,0
145,B,21,34500.0,13.7,0.165,0,4,0
146,B,57,26000.0,8.2,0.306,0,4,0
147,B,34,32700.0,12.0,0.287,0,5,0
148,A,26,54000.0,5.6,0.344,0,5,0
149,B,32,9300.0,1.9,0.239,0,4,0
150,B,54,39100.0,1.4,0.425,0,5,0
151,A,36,182000.0,5.5,0.356,1,4,0
152,A,64,38600.0,9.6,0.394,1,2,0
153,A,40,30000.0,5.0,0.272,0,5,0
154,A,48,49700.0,4.4,0.322,0,4,0
155,A,37,64200.0,15.1,0.361,1,4,0
156,A,49,59100.0,12.1,0.291,0,3,0
157,B,30,26100.0,18.8,0.298,0,4,0
158,B,44,29200.0,3.3,0.274,0,3,0
159,A,48,51200.0,7.4,0.286,0,4,0
160,A,52,40600.0,10.8,0.071,0,5,0
161,A,38,64000.0,11.8,0.321,1,1,0
162,A,32,40600.0,9.1,0.255,0,2,0
163,B,41,43100.0,7.8,0.295,0,5,0
164,A,33,30700.0,13.5,0.422,0,1,0
165,A,61,42200.0,11.9,0.396,0,2,0
166,A,61,21500.0,13.3,0.405,2,2,1
167,A,21,42700.0,5.0,0.256,0,2,0
168,A,44,16400.0,14.3,0.232,0,1,0
169,A,21,37200.0,5.8,0.37,0,5,0
170,A,42,64100.0,8.3,0.43,0,3,0
171,B,21,37500.0,0.9,0.37,2,4,0
172,A,48,40200.0,4.3,0.302,0,2,0
173,A,57,48800.0,10.4,0.267,1,2,0
174,A,47,60600.0,4.7,0.178,0,3,0
175,A,22,44700.0,15.5,0.459,0,5,0
176,A,31,25900.0,9.1,0.154,0,1,0
177,A,30,59600.0,5.6,0.099,0,3,0
178,B,62,25700.0,4.5,0.588,1,4,1
179,B,52,39000.0,2.3,0.483,1,5,1
180,A,29,58600.0,20.8,0.245,1,5,0
181,A,66,12000.0,5.2,0.361,0,1,0
182,A,37,54700.0,9.2,0.288,0,2,0
183,B,49,82900.0,3.4,0.401,0,2,0
184,A,39,30800.0,6.4,0.472,0,1,0
185,B,39,30500.0,5.1,0.463,1,3,1
186,A,31,21500.0,6.4,0.491,0,1,0
187,B,43,31600.0,4.2,0.315,4,4,1
188,B,46,47300.0,6.7,0.607,0,4,0
189,A,45,21800.0,13.0,0.02,0,2,0
190,B,45,14900.0,7.1,0.272,0,2,0
191,B,36,21500.0,5.2,0.231,0,4,1
192,B,46,17400.0,3.1,0.288,0,5,0
193,B,31,16800.0,2.2,0.385,0,4,0
194,A,39,40800.0,12.4,0.175,0,2,0
195,A,26,42300.0,11.2,0.344,0,1,0
196,B,27,20300.0,10.8,0.276,0,3,0
197,A,36,31800.0,5.9,0.185,1,5,1
198,A,35,43300.0,15.7,0.459,0,2,0
199,A,49,27000.0,4.8,0.325,1,4,1
200,A,21,14700.0,1.5,0.391,0,3,1
201,A,33,34800.0,10.2,0.191,0,1,0
202,A,38,40400.0,15.7,0.309,1,5,0
203,B,38,35900.0,8.9,0.244,0,4,0
204,A,29,38000.0,11.0,0.292,1,4,0
205,B,50,19300.0,6.6,0.185,0,3,0
206,A,36,23000.0,2.2,0.261,1,2,0
207,A,37,52500.0,4.3,0.221,0,5,0
208,A,42,20500.0,11.9,0.323,0,2,0
209,A,37,37500.0,5.5,0.324,0,3,0
210,A,39,28500.0,13.6,0.131,0,1,0
211,A,26,35800.0,4.7,0.333,0,2,0
212,A,36,18700.0,4.5,0.306,0,2,0
213,B,52,51100.0,2.5,0.136,0,3,0
